sa4_name,sa3_name,suburb_name,2023,2024,2023-24,2023-24%,natural_increase,net_internal_migration,net_overseas_migration,area,pop_dense_2024
Ballarat,Ballarat,Alfredton,18995,20130,1135,6,171,851,113,52.7,381.9
Ballarat,Ballarat,Ballarat,11811,11773,-38,-0.3,-43,-103,108,12.4,951.1
Ballarat,Ballarat,Buninyong,7323,7358,35,0.5,13,-46,68,51.6,142.6
Ballarat,Ballarat,Delacombe,12865,14271,1406,10.9,175,1198,33,34.2,417.8
Ballarat,Ballarat,Smythes Creek,4267,4278,11,0.3,22,-14,3,104.7,40.8
Ballarat,Ballarat,Wendouree - Miners Rest,15430,15570,140,0.9,23,-9,126,67.6,230.4
Ballarat,Ballarat,Ballarat East - Warrenheip,9629,9717,88,0.9,-41,79,50,19.2,505.7
Ballarat,Ballarat,Ballarat North - Invermay,15013,15169,156,1,67,17,72,73.1,207.4
Ballarat,Ballarat,Canadian - Mount Clear,12433,12457,24,0.2,18,-119,125,22.3,559.3
Ballarat,Ballarat,Sebastopol - Redan,12883,12839,-44,-0.3,35,-130,51,10.6,1213.4
Ballarat,Creswick - Daylesford - Ballan,Bacchus Marsh Surrounds,6637,6722,85,1.3,25,42,18,1038.8,6.5
Ballarat,Creswick - Daylesford - Ballan,Creswick - Clunes,7986,7997,11,0.1,-7,-1,19,856.8,9.3
Ballarat,Creswick - Daylesford - Ballan,Daylesford,10085,10247,162,1.6,-13,116,59,920.8,11.1
Ballarat,Creswick - Daylesford - Ballan,Gordon,6407,6532,125,2,33,77,15,850.3,7.7
Ballarat,Maryborough - Pyrenees,Avoca,3593,3633,40,1.1,-12,42,10,1714.2,2.1
Ballarat,Maryborough - Pyrenees,Beaufort,4708,4835,127,2.7,-9,126,10,1863,2.6
Ballarat,Maryborough - Pyrenees,Golden Plains - North,4939,5000,61,1.2,13,38,10,922.1,5.4
Ballarat,Maryborough - Pyrenees,Maryborough,8154,8229,75,0.9,-47,103,19,45.5,180.7
Ballarat,Maryborough - Pyrenees,Maryborough Surrounds,5644,5703,59,1,-35,79,15,1627.6,3.5
Bendigo,Bendigo,Bendigo,14625,14499,-126,-0.9,-26,-222,122,16.1,901.7
Bendigo,Bendigo,California Gully - Eaglehawk,13308,13503,195,1.5,99,46,50,32.9,410
Bendigo,Bendigo,East Bendigo - Kennington,13975,14022,47,0.3,-50,11,86,17.1,817.7
Bendigo,Bendigo,Flora Hill - Spring Gully,9460,9566,106,1.1,46,-17,77,13.2,724.5
Bendigo,Bendigo,Kangaroo Flat - Golden Square,21256,21423,167,0.8,16,35,116,40.9,523.6
Bendigo,Bendigo,Maiden Gully,5747,5840,93,1.6,30,51,12,43,135.9
Bendigo,Bendigo,Strathfieldsaye,11268,11480,212,1.9,97,92,23,56.4,203.5
Bendigo,Bendigo,White Hills - Ascot,15232,15689,457,3,146,240,71,67.8,231.5
Bendigo,Heathcote - Castlemaine - Kyneton,Bendigo Surrounds - South,8806,8971,165,1.9,50,92,23,796.9,11.3
Bendigo,Heathcote - Castlemaine - Kyneton,Castlemaine,11495,11538,43,0.4,-57,40,60,83.9,137.5
Bendigo,Heathcote - Castlemaine - Kyneton,Castlemaine Surrounds,9397,9596,199,2.1,-7,176,30,1515,6.3
Bendigo,Heathcote - Castlemaine - Kyneton,Heathcote,5261,5329,68,1.3,-2,62,8,756.8,7
Bendigo,Heathcote - Castlemaine - Kyneton,Kyneton,10571,10608,37,0.4,-8,-11,56,556.5,19.1
Bendigo,Heathcote - Castlemaine - Kyneton,Woodend,8045,8035,-10,-0.1,-8,-40,38,211.9,37.9
Bendigo,Loddon - Elmore,Bendigo Surrounds - North,5153,5395,242,4.7,19,217,6,1440.2,3.7
